Category,Subcategory,EnergyDensity_J_per_m3,Color
可再生能源,风能,100000,4CAF50
可再生能源,太阳能,10000,66BB6A
可再生能源,水能,1000000,81C784
机械与智能材料驱动,电机驱动,1000000,26C6DA
机械与智能材料驱动,记忆合金变形,100000000,00ACC1
含能材料,黑火药,3000000,EF5350
含能材料,烟火剂,10000000,F44336
含能材料,TNT,4200000000,E53935
含能材料,硝化甘油,6700000000,D32F2F
含能材料,HMX（高爆药）,8800000000,C62828
含能材料,氢+氧（化学）,13000000,FF7043
化石燃料,天然气,35000000000,8D6E63
化石燃料,煤,24000000000,795548
化石燃料,石油,37000000000,5D4037
核能,核裂变（铀）,5500000000000000,FF9800
核能,氘氚聚变,60000000000000000,E65100
理论极限,完全湮灭,2000000000000000000000000000000000000,7E57C2
